File name: questions.txt, Score: 4/7, Difficulty: 6
File name: questions.txt, Score: 4/7, Difficulty: 6
File name: questions.txt, Score: 4/7, Difficulty: 5
File name: questions.txt, Score: 0/7, Difficulty: 1
File name: questions.txt, Score: 0/7, Difficulty: 2
File name: questions.txt, Score: 5/7, Difficulty: 6
File name: questions.txt, Score: 5/7, Difficulty: 6
File name: questions.txt, Score: 0/7, Difficulty: 6
File name: questions.txt, Score: 4/7, Difficulty: 6
File name: questions.txt, Score: 2/7, Difficulty: 6
File name: questions.txt, Score: 3/7, Difficulty: 6
File name: questions.txt, Score: 2/7, Difficulty: 6
File name: questions.txt, Score: 1/7, Difficulty: 6
File name: questions.txt, Score: 0/7, Difficulty: 5
File name: questions.txt, Score: 6/7, Difficulty: 6
File name: questions.txt, Score: 0/7, Difficulty: 6
File name: questions.txt, Score: 0/7, Difficulty: 1
File name: questions.txt, Score: 0/7, Difficulty: 2
File name: questions.txt, Score: 0/7, Difficulty: 3
File name: questions.txt, Score: 0/7, Difficulty: 4
File name: questions.txt, Score: 0/7, Difficulty: 5
